waypoint1	waypoint2	distance_m	duration_s
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1488993	76238
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	986554	51710
Solang Valley, Burwa, Himachal Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	2021328	107071
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	423322	20733
Mehrangarh Fort, Jodhpur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	988064	52049
Marina Beach, Chennai, Tamil Nadu, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1849935	89524
Amer Fort and Palace, Jaipur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1209229	60544
India Backwaters, Kochi, Kerala, India	Jog Falls, Karnataka, India	630689	48317
Golden Temple, Amritsar, Punjab, India	Palolem Beach, Goa, India	2237676	126636
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Kaziranga National Park, Kanchanjuri, Assam, India	3316735	189027
Dal Lake, Rainawari, Srinagar	Taj Mahal, Agra, Uttar Pradesh, India	1063959	65392
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1743453	96699
Gandhi Smriti, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1876168	102446
Solang Valley, Burwa, Himachal Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	760974	46353
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Charminar, Hyderabad, Telangana, India	725250	41628
Gandhi Smriti, New Delhi, Delhi, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	682834	33696
Golden Temple, Amritsar, Punjab, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	756632	41980
Swaminarayan Akshardham, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1546442	82117
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1422285	73148
Maharajah's Palace, Mysore, Karnataka, India	Agra Fort, Agra, Uttar Pradesh, India	2071995	109224
Kaziranga National Park, Kanchanjuri, Assam, India	Charminar, Hyderabad, Telangana, India	2618653	151614
Golden Temple, Amritsar, Punjab, India	India Backwaters, Kochi, Kerala, India	3146455	165773
Qutub Minar, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	582698	30443
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Maharajah's Palace, Mysore, Karnataka, India	2085131	109195
Virupaksha Temple, Hampi, Karnataka, India	India Backwaters, Kochi, Kerala, India	894874	50409
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Marina Beach, Chennai, Tamil Nadu, India	2090206	115854
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Ajanta Caves, Aurangabad, Maharashtra, India	915067	62794
Kanha National Park, Madhya Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	765016	43519
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	India Backwaters, Kochi, Kerala, India	2190707	117295
Kanha National Park, Madhya Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	950393	52452
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Ajanta Caves, Aurangabad, Maharashtra, India	1206171	63599
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	529124	27506
India Backwaters, Kochi, Kerala, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	2675444	139978
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Konark Sun Temple, Konark, Odisha, India	2297792	127479
Qutub Minar, New Delhi, Delhi, India	Palolem Beach, Goa, India	1893962	107119
Amer Fort and Palace, Jaipur, Rajasthan, India	Agra Fort, Agra, Uttar Pradesh, India	243011	13969
Solang Valley, Burwa, Himachal Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	769655	47461
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Charminar, Hyderabad, Telangana, India	1348746	73957
Solang Valley, Burwa, Himachal Pradesh, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1194497	71803
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	1420413	72962
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2796381	157333
Humayun's Tomb, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	203111	8847
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Amer Fort and Palace, Jaipur, Rajasthan, India	626889	36883
Kanha National Park, Madhya Pradesh, India	India Backwaters, Kochi, Kerala, India	1892768	100007
Swaminarayan Akshardham, New Delhi, Delhi, India	Ajanta Caves, Aurangabad, Maharashtra, India	1207586	63671
Agra Fort, Agra, Uttar Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	610814	31614
Palolem Beach, Goa, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	709829	44150
Virupaksha Temple, Hampi, Karnataka, India	Kaziranga National Park, Kanchanjuri, Assam, India	2993575	173504
Gandhi Smriti, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1420791	82370
Konark Sun Temple, Konark, Odisha, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1787428	97309
Konark Sun Temple, Konark, Odisha, India	Ajanta Caves, Aurangabad, Maharashtra, India	1408735	78009
Marina Beach, Chennai, Tamil Nadu, India	Agra Fort, Agra, Uttar Pradesh, India	1977000	106219
Qutub Minar, New Delhi, Delhi, India	Kanha National Park, Madhya Pradesh, India	954278	50915
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1421661	73074
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Palolem Beach, Goa, India	642060	38635
Kanha National Park, Madhya Pradesh, India	Palolem Beach, Goa, India	1345508	85123
Marina Beach, Chennai, Tamil Nadu, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2283266	128775
India Backwaters, Kochi, Kerala, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1115374	57660
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Jog Falls, Karnataka, India	1773927	91014
Virupaksha Temple, Hampi, Karnataka, India	Maharajah's Palace, Mysore, Karnataka, India	396938	26594
Jog Falls, Karnataka, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	699292	48950
Dal Lake, Rainawari, Srinagar	India Backwaters, Kochi, Kerala, India	3526416	195390
Solang Valley, Burwa, Himachal Pradesh, India	Ajanta Caves, Aurangabad, Maharashtra, India	1766656	98874
Virupaksha Temple, Hampi, Karnataka, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	1880208	102297
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	726381	41795
Humayun's Tomb, New Delhi, Delhi, India	Jog Falls, Karnataka, India	2010972	108467
Jog Falls, Karnataka, India	Charminar, Hyderabad, Telangana, India	661152	41371
Swaminarayan Akshardham, New Delhi, Delhi, India	Konark Sun Temple, Konark, Odisha, India	1693539	91269
Amer Fort and Palace, Jaipur, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1499397	84319
Gandhi Smriti, New Delhi, Delhi, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	773159	41692
Humayun's Tomb, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1458877	72239
Golden Temple, Amritsar, Punjab, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	3059434	160802
Qutub Minar, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1557586	83031
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	815177	44427
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	562962	31318
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Jog Falls, Karnataka, India	746869	39365
Marina Beach, Chennai, Tamil Nadu, India	Jog Falls, Karnataka, India	759918	40847
Palolem Beach, Goa, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1586078	87497
Konark Sun Temple, Konark, Odisha, India	India Backwaters, Kochi, Kerala, India	1909269	105160
India Backwaters, Kochi, Kerala, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	2047067	102418
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	459913	27049
Konark Sun Temple, Konark, Odisha, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2029757	113906
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1201121	58665
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	542702	26902
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	546048	27366
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Charminar, Hyderabad, Telangana, India	1182954	72682
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	1466834	72337
Gandhi Smriti, New Delhi, Delhi, India	Konark Sun Temple, Konark, Odisha, India	1698645	91630
Golden Temple, Amritsar, Punjab, India	Qutub Minar, New Delhi, Delhi, India	471328	27637
Golden Temple, Amritsar, Punjab, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1255000	64990
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1207112	59205
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Charminar, Hyderabad, Telangana, India	1056395	60819
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1163500	65229
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	339126	18391
Qutub Minar, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	920780	45296
Mehrangarh Fort, Jodhpur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1887081	106632
Solang Valley, Burwa, Himachal Pradesh, India	Palace Of Maharana Pratap, Udaipur, Rajasthan, India	1243529	69139
Amer Fort and Palace, Jaipur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	250435	14723
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Dal Lake, Rainawari, Srinagar	1306615	77741
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1314799	75210
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1420151	72734
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1740065	92295
Kaziranga National Park, Kanchanjuri, Assam, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	2814182	162690
Marina Beach, Chennai, Tamil Nadu, India	Charminar, Hyderabad, Telangana, India	629497	33885
Qutub Minar, New Delhi, Delhi, India	Maharajah's Palace, Mysore, Karnataka, India	2282477	118743
Kanha National Park, Madhya Pradesh, India	Konark Sun Temple, Konark, Odisha, India	844006	49643
Konark Sun Temple, Konark, Odisha, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1128031	60681
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	3537	547
Qutub Minar, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	247991	13249
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1966427	97688
Amer Fort and Palace, Jaipur, Rajasthan, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	683957	34293
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Kanha National Park, Madhya Pradesh, India	1477800	78429
Swaminarayan Akshardham, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1575930	82421
Marina Beach, Chennai, Tamil Nadu, India	Kaziranga National Park, Kanchanjuri, Assam, India	2804026	159923
Jog Falls, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	663197	41490
Kanha National Park, Madhya Pradesh, India	Virupaksha Temple, Hampi, Karnataka, India	1154523	65603
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Ajanta Caves, Aurangabad, Maharashtra, India	472092	26318
Palolem Beach, Goa, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1142448	62896
Kanha National Park, Madhya Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	945321	51507
India Backwaters, Kochi, Kerala, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	2496449	127487
Gandhi Smriti, New Delhi, Delhi, India	Jog Falls, Karnataka, India	2013129	108683
Dal Lake, Rainawari, Srinagar	Konark Sun Temple, Konark, Odisha, India	2532657	147377
Gandhi Smriti, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1458712	71471
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	206918	9131
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	5967	806
India Backwaters, Kochi, Kerala, India	Charminar, Hyderabad, Telangana, India	1111900	58201
Gateway Of India Mumbai, Mumbai, Maharashtra, India	India Backwaters, Kochi, Kerala, India	1546871	78058
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	683044	33864
Marina Beach, Chennai, Tamil Nadu, India	Konark Sun Temple, Konark, Odisha, India	1274271	69554
Dal Lake, Rainawari, Srinagar	Kaziranga National Park, Kanchanjuri, Assam, India	2742151	168690
Solang Valley, Burwa, Himachal Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	999946	65482
Golden Temple, Amritsar, Punjab, India	Dal Lake, Rainawari, Srinagar	469520	34791
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	3533	636
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	419680	26641
Gandhi Smriti, New Delhi, Delhi, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1460411	72381
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	204307	8871
Solang Valley, Burwa, Himachal Pradesh, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	2023973	107147
Palolem Beach, Goa, India	Charminar, Hyderabad, Telangana, India	708067	43849
Humayun's Tomb, New Delhi, Delhi, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	772298	41627
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1141123	66258
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Maharajah's Palace, Mysore, Karnataka, India	1048862	54496
Gandhi Smriti, New Delhi, Delhi, India	Marina Beach, Chennai, Tamil Nadu, India	2181726	114977
Virupaksha Temple, Hampi, Karnataka, India	Jog Falls, Karnataka, India	290681	20660
Palolem Beach, Goa, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1826286	117769
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	India Backwaters, Kochi, Kerala, India	2288992	114701
Mehrangarh Fort, Jodhpur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	577251	32306
India Backwaters, Kochi, Kerala, India	Agra Fort, Agra, Uttar Pradesh, India	2481134	130196
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	259004	15591
Virupaksha Temple, Hampi, Karnataka, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1624987	90609
Maharajah's Palace, Mysore, Karnataka, India	Jog Falls, Karnataka, India	345120	22302
Konark Sun Temple, Konark, Odisha, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	1700243	91796
Gandhi Smriti, New Delhi, Delhi, India	Dal Lake, Rainawari, Srinagar	854880	55924
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Kaziranga National Park, Kanchanjuri, Assam, India	2625689	150064
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1163425	65482
Golden Temple, Amritsar, Punjab, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	625958	36997
Swaminarayan Akshardham, New Delhi, Delhi, India	Jog Falls, Karnataka, India	2015166	108789
Qutub Minar, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1446676	71621
Gandhi Smriti, New Delhi, Delhi, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2604025	134468
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	9002	1214
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Palolem Beach, Goa, India	1378621	74711
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	572275	31681
Amer Fort and Palace, Jaipur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	850645	45172
Sabarmati Ashram, Ahmedabad, Gujarat, India	Charminar, Hyderabad, Telangana, India	1153195	67144
India Backwaters, Kochi, Kerala, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	2373546	132653
Qutub Minar, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1587074	83336
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	789375	48661
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Konark Sun Temple, Konark, Odisha, India	1742747	97749
Mehrangarh Fort, Jodhpur, Rajasthan, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	446084	24719
Golden Temple, Amritsar, Punjab, India	Maharajah's Palace, Mysore, Karnataka, India	2648519	141958
Maharajah's Palace, Mysore, Karnataka, India	Kaziranga National Park, Kanchanjuri, Assam, India	3153417	183346
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Maharajah's Palace, Mysore, Karnataka, India	2079075	106089
Golden Temple, Amritsar, Punjab, India	Ajanta Caves, Aurangabad, Maharashtra, India	1534906	82247
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Maharajah's Palace, Mysore, Karnataka, India	1792780	96057
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Maharajah's Palace, Mysore, Karnataka, India	2063015	110080
Golden Temple, Amritsar, Punjab, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1264495	64813
Maharajah's Palace, Mysore, Karnataka, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	2278913	118355
Konark Sun Temple, Konark, Odisha, India	Kaziranga National Park, Kanchanjuri, Assam, India	1628259	96984
Agra Fort, Agra, Uttar Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1317410	75469
Virupaksha Temple, Hampi, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	375768	23926
Solang Valley, Burwa, Himachal Pradesh, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	3151471	172730
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1869011	103999
Golden Temple, Amritsar, Punjab, India	Kaziranga National Park, Kanchanjuri, Assam, India	2363547	139278
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	712556	40709
Jog Falls, Karnataka, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1244077	63294
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1070000	54312
Marina Beach, Chennai, Tamil Nadu, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1868992	106842
Mehrangarh Fort, Jodhpur, Rajasthan, India	Kaziranga National Park, Kanchanjuri, Assam, India	2407435	138337
Virupaksha Temple, Hampi, Karnataka, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1635301	98249
Swaminarayan Akshardham, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	600933	31487
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Marina Beach, Chennai, Tamil Nadu, India	2091208	102074
Golden Temple, Amritsar, Punjab, India	Humayun's Tomb, New Delhi, Delhi, India	464813	27094
Golden Temple, Amritsar, Punjab, India	Charminar, Hyderabad, Telangana, India	2006956	108812
Swaminarayan Akshardham, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	257179	13809
Marina Beach, Chennai, Tamil Nadu, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1686573	93318
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1135807	59910
Maharajah's Palace, Mysore, Karnataka, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	717417	36412
Marina Beach, Chennai, Tamil Nadu, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	1978924	106456
Solang Valley, Burwa, Himachal Pradesh, India	Humayun's Tomb, New Delhi, Delhi, India	566698	38743
Solang Valley, Burwa, Himachal Pradesh, India	Kanha National Park, Madhya Pradesh, India	1506185	88014
Humayun's Tomb, New Delhi, Delhi, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	10015	1241
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Virupaksha Temple, Hampi, Karnataka, India	752432	40162
Humayun's Tomb, New Delhi, Delhi, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	634023	34037
Solang Valley, Burwa, Himachal Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1962158	119825
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2207157	110214
Qutub Minar, New Delhi, Delhi, India	Marina Beach, Chennai, Tamil Nadu, India	2187765	115530
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Palolem Beach, Goa, India	1677751	108940
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Charminar, Hyderabad, Telangana, India	1238813	74343
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Taj Mahal, Agra, Uttar Pradesh, India	1378242	74437
Virupaksha Temple, Hampi, Karnataka, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	749085	39745
Gandhi Smriti, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	1941145	114075
